ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
71,ORG,"OPERN, KONZERTHÄUSER, CHÖRE",Chorverband Berlin e.V.,Eichendorffstr. 18,10115,Berlin,49.1182502,12.1276682,https://www.chorverband-berlin.de,,
72,ORG+VENUE,TANZSTUDIO/ PERFORMANCE,cie toula limnaios,Am Friedrichshain 33,10407,Berlin,52.5283962,13.4256794,https://toula.de/,,
73,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",CIRCLE1 Gallery,Hauptstraße 101,10827,Berlin,52.4796075,13.3459242,circle1berlin.com,,
74,ORG+VENUE,"BÜHNEN, THEATER",Club der Polnischen Versager,Ackerstraße 168,10115,Berlin,52.529941,13.3970948,http://www.polnischeversager.de/,,
75,ORG,,cobratheater.cobra,,,,,,www.cobratheatercobra.com/,,
76,ORG+VENUE,MUSEUM,Computerspielemuseum,Karl-Marx-Allee 93a,10243,Berlin,52.51769,13.442,http://www.computerspielemuseum.de/,,
77,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Concent Art e.V.,Kreuzbergstr.28,10965,Berlin,52.4897411,13.3780861,http://www.concentart.org/d/index.html,,
78,ORG,"KUNST-/KULTURHÄUSER, KULTURVEREINE",ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei),Schönhauser Allee 36,10435,Berlin,52.5386047,13.4130561,https://www.kesselhaus.net/,,
79,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,COPYRIGHTberlin,Schwedenstr. 16,13357,Berlin,52.5551018,13.3752283,www.copyrightberlin.de,,
80,ORG+VENUE,"LITERATUR, MUSIK, SONSTIGES",cx::pm crosxconcepts berlin,wilkestr 21,13507,Berlin,52.59005,13.2746299,http://concepts.crosx.net/imprint/,,
81,ORG,"BÜHNEN UND THEATER, SONSTIGES",CyberRäuber GbR,Chodowieckistrasse 10,10405,Berlin,52.5369681,13.4287001,http://wp11159761.server-he.de/vtheater/de/home/,,
82,ORG,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",DAAD e.V.,Markgrafenstraße 37,10117,Berlin,52.5134042,13.3934685,http://www.daadgalerie.de/,,
83,ORG,TANZSTUDIO/ PERFORMANCE,Dachverband Zeitgenössischer Tanz Berlin e.V.,Klosterstr. 68-70,10179,Berlin,52.5174263,13.4125435,http://www.ztberlin.de/,,
84,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Dada Post,Nordbahnstraße 10,13409,Berlin,48.2281847,16.3879917,www.dadapost.com,,
85,ORG+VENUE,"BÜHNEN, THEATER",Das Helmi,Pappelallee 15,10437,Berlin,52.5430652,13.4148661,http://www.das-helmi.de/,,
86,ORG+VENUE,"BÜHNEN UND THEATER, DARSTELLENDE KUNST",DAS WEITE THEATER e.V.,Parkaue 23,10367,Berlin,52.5164983,13.4765684,http://www.das-weite-theater.de/,,
87,ORG+VENUE,MUSEUM,DDR Museum,Karl-Liebknecht-Str. 1,10178,Berlin,52.5193236,13.4026364,https://www.ddr-museum.de/de,,
88,ORG+VENUE,"OPERN, KONZERTHÄUSER UND CHÖRE",Deutsche Oper Berlin,Richard-Wagner-Straße 10,10585,Berlin,48.1475777,11.5643427,https://www.deutscheoperberlin.de/,,
89,ORG+VENUE,MUSEUM,Deutsches Historisches Museum,Unter den Linden 2,10117,Berlin,52.5187801,13.3965906,https://www.dhm.de,,
90,ORG+VENUE,"OPERN, KONZERTHÄUSER UND CHÖRE",Deutsches Symphonie-Orchester Berlin,Masurenallee 16-20,14057,Berlin,52.50908,13.27479,https://www.dso-berlin.de/de/,,
91,ORG+VENUE,"BÜHNEN, THEATER",Deutsches Theater / Kammerspiele,Schumannstraße 13a,10117,Berlin,52.5242377,13.3816481,https://www.deutschestheater.de/,,
92,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,die raum,Oderberger Str. 56,10435,Berlin,52.5381574,13.4101623,www.dieraum.net,,
93,VENUE,BIBLIOTHEK,Dietrich-Bonhoeffer-Bibliothek,Brandenburgische Straße 2,10713,Berlin,52.4871776,13.3200489,https://www.wir-bieten-vielfalt-einen-ort.de/dietrich-bonhoeffer-bibliothek/,,
